iter	Passed	Remaining
0	7	2118
1	13	2002
2	19	1966
3	26	1926
4	32	1935
5	39	1917
6	45	1915
7	52	1931
8	58	1898
9	65	1886
10	72	1915
11	81	1961
12	88	1946
13	94	1937
14	100	1914
15	106	1892
16	113	1886
17	119	1873
18	125	1859
19	131	1840
20	137	1832
21	144	1829
22	151	1823
23	158	1820
24	165	1824
25	173	1823
26	180	1822
27	188	1832
28	196	1838
29	204	1838
30	211	1832
31	218	1832
32	225	1824
33	232	1815
34	237	1800
35	244	1790
36	250	1782
37	257	1772
38	262	1759
39	271	1767
40	279	1767
41	288	1769
42	295	1763
43	301	1751
44	307	1742
45	314	1734
46	320	1723
47	326	1715
48	333	1706
49	340	1700
50	346	1693
51	352	1683
52	359	1675
53	366	1667
54	372	1660
55	378	1651
56	384	1640
57	391	1635
58	398	1627
59	404	1619
60	410	1609
61	416	1600
62	423	1592
63	429	1585
64	435	1575
65	441	1564
66	447	1557
67	454	1548
68	460	1542
69	466	1533
70	473	1525
71	479	1518
72	486	1512
73	493	1505
74	498	1496
75	505	1488
76	512	1483
77	518	1476
78	525	1468
79	530	1460
80	537	1453
81	544	1446
82	550	1439
83	557	1434
84	564	1426
85	570	1420
86	578	1415
87	585	1409
88	592	1404
89	599	1398
90	605	1391
91	612	1384
92	620	1380
93	627	1374
94	634	1369
95	641	1363
96	648	1357
97	654	1348
98	660	1340
99	667	1334
100	674	1328
101	681	1323
102	688	1316
103	695	1310
104	702	1303
105	709	1298
106	715	1291
107	723	1286
108	729	1279
109	736	1272
110	742	1264
111	749	1257
112	756	1252
113	762	1244
114	768	1236
115	774	1228
116	781	1222
117	788	1215
118	794	1208
119	800	1200
120	806	1193
121	813	1186
122	819	1179
123	824	1170
124	831	1163
125	837	1156
126	844	1150
127	851	1143
128	858	1137
129	865	1132
130	872	1125
131	879	1119
132	886	1113
133	893	1106
134	899	1098
135	905	1092
136	912	1085
137	918	1078
138	923	1069
139	929	1062
140	936	1055
141	942	1048
142	948	1041
143	954	1034
144	961	1027
145	968	1021
146	973	1013
147	979	1006
148	987	1000
149	994	994
150	1001	987
151	1007	981
152	1015	975
153	1021	968
154	1027	961
155	1034	954
156	1040	947
157	1045	940
158	1052	932
159	1058	926
160	1065	919
161	1070	911
162	1078	906
163	1085	899
164	1092	893
165	1098	886
166	1105	880
167	1110	872
168	1116	865
169	1123	859
170	1130	852
171	1136	845
172	1141	838
173	1150	832
174	1161	829
175	1172	825
176	1185	823
177	1197	820
178	1207	815
179	1214	809
180	1221	803
181	1232	799
182	1241	793
183	1248	787
184	1255	780
185	1262	773
186	1268	766
187	1274	759
188	1280	751
189	1287	745
190	1294	738
191	1301	731
192	1306	724
193	1312	717
194	1319	710
195	1325	703
196	1331	696
197	1337	689
198	1344	682
199	1351	675
200	1357	668
201	1362	661
202	1370	654
203	1376	647
204	1383	640
205	1389	633
206	1395	626
207	1402	620
208	1409	613
209	1416	607
210	1421	599
211	1428	592
212	1434	586
213	1441	579
214	1447	572
215	1453	565
216	1459	558
217	1465	551
218	1470	544
219	1476	537
220	1483	530
221	1490	523
222	1497	517
223	1505	510
224	1513	504
225	1519	497
226	1527	491
227	1533	484
228	1539	477
229	1547	471
230	1555	464
231	1562	457
232	1567	450
233	1575	444
234	1583	437
235	1591	431
236	1599	425
237	1608	419
238	1617	412
239	1625	406
240	1633	399
241	1641	393
242	1648	386
243	1656	380
244	1663	373
245	1671	366
246	1677	359
247	1684	353
248	1690	346
249	1697	339
250	1704	332
251	1712	326
252	1719	319
253	1726	312
254	1732	305
255	1738	298
256	1744	291
257	1751	285
258	1757	278
259	1763	271
260	1769	264
261	1776	257
262	1782	250
263	1787	243
264	1793	236
265	1800	230
266	1807	223
267	1815	216
268	1821	209
269	1827	203
270	1834	196
271	1841	189
272	1847	182
273	1852	175
274	1859	169
275	1865	162
276	1871	155
277	1877	148
278	1884	141
279	1890	135
280	1896	128
281	1905	121
282	1915	115
283	1923	108
284	1932	101
285	1941	95
286	1950	88
287	1959	81
288	1968	74
289	1977	68
290	1984	61
291	1992	54
292	1998	47
293	2006	40
294	2013	34
295	2021	27
296	2027	20
297	2033	13
298	2039	6
299	2046	0
